universidade	sexo	area	maismedico	feliciano	diretasja	pec	vicegov	vicepres	manif	tipo
0	1	3	1	1	0	1	0	1	1	1
0	2	3	1	0	0	1	0	0	1	1
0	2	3	1	1	0	1	0	1	1	1
0	1	3	1	0	0	1	0	0	0	1
0	1	3	1	0	0	1	0	0	1	1
0	1	3	1	0	1	0	0	0	0	1
0	1	3	1	0	0	1	0	0	0	1
0	1	3	1	0	0	0	0	0	0	1
0	1	3	1	1	0	1	1	1	1	1
0	1	3	0	0	0	1	0	0	0	1
0	1	3	1	0	0	0	0	1	1	1
0	2	3	1	0	0	1	0	0	0	1
0	NA	3	0	0	0	0	0	1	0	1
0	1	3	1	0	1	1	0	0	0	1
0	1	3	1	0	0	1	0	1	1	1
0	1	3	1	0	0	0	0	0	0	1
0	1	3	1	0	0	0	0	1	0	1
0	1	3	1	0	0	1	0	0	0	1
0	1	3	1	0	1	0	0	0	0	1
0	1	3	1	0	0	1	0	0	0	1
0	1	3	1	1	0	0	0	0	0	1
0	1	3	0	0	0	1	0	0	1	1
0	1	3	1	1	0	0	0	1	0	1
0	2	3	1	0	0	1	0	0	0	1
0	2	2	1	1	0	1	0	1	0	1
1	1	1	1	0	0	1	0	0	1	1
1	2	1	1	1	1	1	0	1	0	1
1	1	1	1	0	0	1	0	0	1	1
1	1	1	1	1	1	1	0	1	0	1
1	2	3	1	0	1	1	NA	NA	0	1
1	1	3	1	1	0	1	0	1	0	1
1	1	3	1	0	0	1	0	1	0	1
1	2	3	1	1	0	NA	0	0	0	1
1	2	3	1	1	0	0	1	1	0	1
1	2	3	1	0	NA	0	NA	NA	0	1
1	1	3	1	1	0	1	0	1	0	1
1	1	3	1	0	0	1	0	0	0	1
1	1	3	1	0	0	0	0	0	1	1
1	1	3	1	0	0	1	0	0	1	1
1	1	1	1	0	1	1	0	0	0	1
1	1	1	1	0	0	1	0	0	0	1
1	1	1	1	1	1	1	0	0	1	1
1	1	1	1	1	0	1	0	1	1	1
1	2	1	1	0	1	1	0	1	0	1
1	2	1	1	1	1	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1
1	1	3	1	1	1	1	0	1	1	1
1	1	1	1	1	0	1	0	0	0	1
1	1	1	1	0	1	0	0	0	0	1
1	1	1	1	0	1	1	0	0	0	1
1	2	2	1	1	1	1	1	1	0	1
1	2	2	1	0	0	1	0	0	1	1
1	2	2	1	0	0	1	0	1	0	1
1	2	2	1	1	1	1	0	1	0	1
1	1	2	1	0	1	1	0	0	1	1
1	1	2	1	1	1	1	0	1	1	1
1	1	2	1	0	NA	0	0	NA	0	1
1	2	1	1	1	0	1	0	0	0	1
1	2	1	1	1	0	1	0	1	1	1
1	2	2	1	1	1	1	0	0	1	1
1	2	1	1	1	0	1	0	1	0	1
1	1	3	1	1	0	0	0	0	1	1
1	2	2	1	1	1	1	0	0	0	1
